# Derived extract of Supplementary Data 1, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 786c6962d01bbeeffcc88335d2e2e762f333daf399c649bec3916bc4ef2209d0
# Columns kept: project_ID, sample_ID, cell_number_reserved — every row, values unchanged. The publisher file itself is not committed.
project_ID,sample_ID,cell_number_reserved
GEO-GSE180595,GEO-GSM5706853,13099
GEO-GSE180595,GEO-GSM5706855,432
GEO-GSE180595,GEO-GSM5706856,5398
GEO-GSE180595,GEO-GSM5706859,7721
GEO-GSE180595,GEO-GSM5706860,3688
GEO-GSE180595,GEO-GSM5706862,8592
GEO-GSE180595,GEO-GSM5706863,3760
GEO-GSE180595,GEO-GSM5706857,3906
GEO-GSE180595,GEO-GSM5706861,378
GEO-GSE180595,GEO-GSM5706864,1053
GEO-GSE180595,GEO-GSM5706854,804
GEO-GSE180595,GEO-GSM5706858,4986
GEO-GSE183267,GEO-GSM5554281,4313
GEO-GSE183267,GEO-GSM5554284,3390
GEO-GSE183267,GEO-GSM5554288,4586
GEO-GSE183267,GEO-GSM5554283,3154
GEO-GSE183267,GEO-GSM5554285,3203
GEO-GSE183267,GEO-GSM5554286,4884
GEO-GSE183267,GEO-GSM5554290,6944
GEO-GSE183267,GEO-GSM5554280,6195
GEO-GSE183267,GEO-GSM5554282,4588
GEO-GSE183267,GEO-GSM5554287,5208
GEO-GSE183267,GEO-GSM5554289,6977
GEO-GSE185275,GEO-GSM5609928,10209
GEO-GSE185275,GEO-GSM5609929,10719
GEO-GSE185275,GEO-GSM5609930,7126
GEO-GSE185275,GEO-GSM5609932,10608
GEO-GSE185275,GEO-GSM5609927,8882
GEO-GSE185275,GEO-GSM5609931,5769
GEO-GSE154600,GEO-GSM4675275,8136
GEO-GSE154600,GEO-GSM4675273,16275
GEO-GSE154600,GEO-GSM4675274,16678
GEO-GSE154600,GEO-GSM4675276,5700
GEO-GSE154600,GEO-GSM4675277,4816
GEO-GSE196235,GEO-GSM5866081,51598
GEO-GSE162454,GEO-GSM4952364,8185
GEO-GSE162454,GEO-GSM4952365,9703
GEO-GSE162454,GEO-GSM5155198,4302
GEO-GSE162454,GEO-GSM5155199,10430
GEO-GSE162454,GEO-GSM5155200,9395
GEO-GSE162454,GEO-GSM4952363,8681
GEO-GSE161277,GEO-GSM4904235,3888
GEO-GSE161277,GEO-GSM4904236,3651
GEO-GSE161277,GEO-GSM4904239,6515
GEO-GSE161277,GEO-GSM4904241,4214
GEO-GSE161277,GEO-GSM4904243,2578
GEO-GSE161277,GEO-GSM4904237,3668
GEO-GSE161277,GEO-GSM4904238,3649
GEO-GSE161277,GEO-GSM4904240,6783
GEO-GSE161277,GEO-GSM4904242,4022
GEO-GSE161277,GEO-GSM4904244,2137
GEO-GSE161277,GEO-GSM4904245,2546
GEO-GSE161277,GEO-GSM4904234,2708
GEO-GSE161277,GEO-GSM4904246,4060
GEO-GSE184398,GEO-GSM5696489,1966
GEO-GSE184398,GEO-GSM5696498,1498
GEO-GSE184398,GEO-GSM5696500,14260
GEO-GSE184398,GEO-GSM5696491,2691
GEO-GSE184398,GEO-GSM5696494,6265
GEO-GSE184398,GEO-GSM5696495,429
GEO-GSE184398,GEO-GSM5696496,6546
GEO-GSE184398,GEO-GSM5696497,678
GEO-GSE184398,GEO-GSM5696499,2397
GEO-GSE184398,GEO-GSM5696490,4088
GEO-GSE184398,GEO-GSM5696492,3782
GEO-GSE184398,GEO-GSM5696493,4434
GEO-GSE148218,GEO-GSM4456252,5817
GEO-GSE148218,GEO-GSM4456257,7650
GEO-GSE148218,GEO-GSM4795824,900
GEO-GSE148218,GEO-GSM4456251,6689
GEO-GSE148218,GEO-GSM4456254,7808
GEO-GSE148218,GEO-GSM4456255,7013
GEO-GSE148218,GEO-GSM4456256,4173
GEO-GSE148218,GEO-GSM4795825,2143
GEO-GSE148218,GEO-GSM4456253,4142
GEO-GSE148218,GEO-GSM4456258,6079
GEO-GSE148218,GEO-GSM4795826,2462
GEO-GSE157773,GEO-GSM4774852,12043
GEO-GSE157773,GEO-GSM4774853,14748
GEO-GSE157773,GEO-GSM4774854,11235
GEO-GSE157773,GEO-GSM4774851,10661
GEO-GSE163830,GEO-GSM4988048,27953
GEO-GSE163830,GEO-GSM4988049,16756
GEO-GSE163830,GEO-GSM4988047,3932
GEO-GSE159556,GEO-GSM4832478,11021
GEO-GSE159556,GEO-GSM4832476,5501
GEO-GSE159556,GEO-GSM4832479,10173
GEO-GSE159556,GEO-GSM4832477,8606
GEO-GSE159556,GEO-GSM4832480,11851
GEO-GSE142585,GEO-GSM4232462,1764
GEO-GSE142585,GEO-GSM4232465,1232
GEO-GSE142585,GEO-GSM4232467,3263
GEO-GSE142585,GEO-GSM4232464,1088
GEO-GSE142585,GEO-GSM4232466,3524
GEO-GSE142585,GEO-GSM4232468,1692
GEO-GSE142585,GEO-GSM4232469,2261
GEO-GSE142585,GEO-GSM4232470,4796
GEO-GSE142585,GEO-GSM4232461,1057
GEO-GSE142585,GEO-GSM4232463,1055
GEO-GSE139522,GEO-GSM4142872,10069
GEO-GSE139522,GEO-GSM4142870,6722
GEO-GSE139522,GEO-GSM4142871,13338
GEO-GSE139522,GEO-GSM4142873,14558
GEO-GSE145122,GEO-GSM4306931,10619
GEO-GSE145122,GEO-GSM4306933,14599
GEO-GSE145122,GEO-GSM4306932,4009
GEO-GSE145122,GEO-GSM4306934,16067
GEO-GSE165496,GEO-GSM5034684,8662
GEO-GSE165496,GEO-GSM5034685,11000
GEO-GSE165496,GEO-GSM5034680,8198
GEO-GSE165496,GEO-GSM5034681,4353
GEO-GSE165496,GEO-GSM5034683,8589
GEO-GSE165496,GEO-GSM5034682,3186
GEO-GSE165822,GEO-GSM5050658,8198
GEO-GSE165822,GEO-GSM5050661,8589
GEO-GSE165822,GEO-GSM5050660,3186
GEO-GSE165822,GEO-GSM5050662,8662
GEO-GSE165822,GEO-GSM5050663,11000
GEO-GSE165822,GEO-GSM5050659,4353
GEO-GSE153056,GEO-GSM4633608,16695
GEO-GSE153056,GEO-GSM4633605,7566
GEO-GSE153056,GEO-GSM4633614,20729
GEO-GSE143753,GEO-GSM4274191,4375
GEO-GSE143753,GEO-GSM4274192,5745
GEO-GSE143753,GEO-GSM4274193,5560
GEO-GSE143753,GEO-GSM4274188,5300
GEO-GSE143753,GEO-GSM4274189,7351
GEO-GSE143753,GEO-GSM4274190,7239
GEO-GSE143753,GEO-GSM4274194,2932
GEO-GSE143753,GEO-GSM4609136,4355
GEO-GSE161921,GEO-GSM4923401,5157
GEO-GSE161921,GEO-GSM4923402,4895
GEO-GSE161921,GEO-GSM4923403,15335
GEO-GSE161921,GEO-GSM4923404,12975
GEO-GSE113675,GEO-GSM3110967,3668
GEO-GSE113675,GEO-GSM3417508,4981
GEO-GSE113675,GEO-GSM3417509,2829
GEO-GSE113675,GEO-GSM3417510,2276
GEO-GSE113675,GEO-GSM3110968,4278
GEO-GSE113675,GEO-GSM3417506,4703
GEO-GSE113675,GEO-GSM3417507,4979
GEO-GSE147143,GEO-GSM4419186,2146
GEO-GSE147143,GEO-GSM4419187,10736
GEO-GSE147143,GEO-GSM4419185,7295
GEO-GSE189202,GEO-GSM5696059,6967
GEO-GSE189202,GEO-GSM5696060,10164
GEO-GSE189202,GEO-GSM5696061,8870
GEO-GSE189202,GEO-GSM5696058,13184
GEO-GSE161801,GEO-GSM4914650,1504
GEO-GSE161801,GEO-GSM4914656,6232
GEO-GSE161801,GEO-GSM4914657,1840
GEO-GSE161801,GEO-GSM4914658,809
GEO-GSE161801,GEO-GSM4914662,1747
GEO-GSE161801,GEO-GSM4914663,4623
GEO-GSE161801,GEO-GSM4914665,4298
GEO-GSE161801,GEO-GSM4914668,3882
GEO-GSE161801,GEO-GSM4914671,2667
GEO-GSE161801,GEO-GSM4914672,1630
GEO-GSE161801,GEO-GSM4914677,481
GEO-GSE161801,GEO-GSM4914686,2303
GEO-GSE161801,GEO-GSM4914688,569
GEO-GSE161801,GEO-GSM4914692,3206
GEO-GSE161801,GEO-GSM4914694,2688
GEO-GSE161801,GEO-GSM4914695,1662
GEO-GSE161801,GEO-GSM4914703,3265
GEO-GSE161801,GEO-GSM4914704,4575
GEO-GSE161801,GEO-GSM4914708,3940
GEO-GSE161801,GEO-GSM4914709,1923
GEO-GSE161801,GEO-GSM4914714,3804
GEO-GSE161801,GEO-GSM4914715,1861
GEO-GSE161801,GEO-GSM4914719,303
GEO-GSE161801,GEO-GSM4914721,1017
GEO-GSE161801,GEO-GSM4914729,2417
GEO-GSE161801,GEO-GSM4914732,1707
GEO-GSE161801,GEO-GSM4914734,800
GEO-GSE161801,GEO-GSM4914652,3372
GEO-GSE161801,GEO-GSM4914653,1051
GEO-GSE161801,GEO-GSM4914654,1782
GEO-GSE161801,GEO-GSM4914655,4273
GEO-GSE161801,GEO-GSM4914660,3256
GEO-GSE161801,GEO-GSM4914664,4492
GEO-GSE161801,GEO-GSM4914666,3267
GEO-GSE161801,GEO-GSM4914667,1848
GEO-GSE161801,GEO-GSM4914669,3774
GEO-GSE161801,GEO-GSM4914670,409
GEO-GSE161801,GEO-GSM4914676,2255
GEO-GSE161801,GEO-GSM4914678,2548
GEO-GSE161801,GEO-GSM4914679,1099
GEO-GSE161801,GEO-GSM4914680,3717
GEO-GSE161801,GEO-GSM4914682,6109
GEO-GSE161801,GEO-GSM4914683,3972
GEO-GSE161801,GEO-GSM4914685,2492
GEO-GSE161801,GEO-GSM4914687,995
GEO-GSE161801,GEO-GSM4914693,338
GEO-GSE161801,GEO-GSM4914696,1883
GEO-GSE161801,GEO-GSM4914702,3130
GEO-GSE161801,GEO-GSM4914706,3519
GEO-GSE161801,GEO-GSM4914712,1741
GEO-GSE161801,GEO-GSM4914713,2500
GEO-GSE161801,GEO-GSM4914720,2247
GEO-GSE161801,GEO-GSM4914722,3557
GEO-GSE161801,GEO-GSM4914723,5773
GEO-GSE161801,GEO-GSM4914731,1013
GEO-GSE161801,GEO-GSM4914735,520
GEO-GSE161801,GEO-GSM4914649,37
GEO-GSE161801,GEO-GSM4914651,1726
GEO-GSE161801,GEO-GSM4914659,349
GEO-GSE161801,GEO-GSM4914661,259
GEO-GSE161801,GEO-GSM4914673,3469
GEO-GSE161801,GEO-GSM4914674,3021
GEO-GSE161801,GEO-GSM4914675,2751
GEO-GSE161801,GEO-GSM4914681,1063
GEO-GSE161801,GEO-GSM4914684,204
GEO-GSE161801,GEO-GSM4914689,1420
GEO-GSE161801,GEO-GSM4914690,3276
GEO-GSE161801,GEO-GSM4914691,1275
GEO-GSE161801,GEO-GSM4914697,2407
GEO-GSE161801,GEO-GSM4914698,1033
GEO-GSE161801,GEO-GSM4914699,6585
GEO-GSE161801,GEO-GSM4914700,8849
GEO-GSE161801,GEO-GSM4914701,3433
GEO-GSE161801,GEO-GSM4914705,1452
GEO-GSE161801,GEO-GSM4914707,684
GEO-GSE161801,GEO-GSM4914710,2618
GEO-GSE161801,GEO-GSM4914711,144
GEO-GSE161801,GEO-GSM4914716,2193
GEO-GSE161801,GEO-GSM4914717,118
GEO-GSE161801,GEO-GSM4914718,5505
GEO-GSE161801,GEO-GSM4914724,2262
GEO-GSE161801,GEO-GSM4914725,2106
GEO-GSE161801,GEO-GSM4914726,3829
GEO-GSE161801,GEO-GSM4914727,4575
GEO-GSE161801,GEO-GSM4914728,1930
GEO-GSE161801,GEO-GSM4914730,667
GEO-GSE161801,GEO-GSM4914733,479
GEO-GSE163018,GEO-GSM4970298,8295
GEO-GSE163018,GEO-GSM4970299,7756
GEO-GSE163018,GEO-GSM4970303,10909
GEO-GSE163018,GEO-GSM4970304,11172
GEO-GSE139409,GEO-GSM4140811,15004
GEO-GSE139409,GEO-GSM4140810,22804
GEO-GSE157525,GEO-GSM4769385,6294
GEO-GSE157525,GEO-GSM4769380,6237
GEO-GSE157525,GEO-GSM4769381,5587
GEO-GSE157525,GEO-GSM4769382,6048
GEO-GSE157525,GEO-GSM4769383,5968
GEO-GSE157525,GEO-GSM4769384,7531
GEO-GSE158971,GEO-GSM4816782,12972
GEO-GSE158971,GEO-GSM4816781,12354
GEO-GSE158971,GEO-GSM4816780,11987
GEO-GSE155850,GEO-GSM4712969,12738
GEO-GSE155850,GEO-GSM4712971,6787
GEO-GSE155850,GEO-GSM4712970,10967
GEO-GSE155850,GEO-GSM4712972,5878
GEO-GSE133028,GEO-GSM5264634,485
GEO-GSE133028,GEO-GSM5264635,4527
GEO-GSE133028,GEO-GSM5264636,1645
GEO-GSE133028,GEO-GSM5264637,6124
GEO-GSE133028,GEO-GSM5264638,13317
GEO-GSE133028,GEO-GSM5264639,3239
GEO-GSE133028,GEO-GSM5264640,9177
GEO-GSE133028,GEO-GSM5264641,2354
GEO-GSE133028,GEO-GSM5264642,5166
GEO-GSE133028,GEO-GSM5264643,4154
GEO-GSE133028,GEO-GSM5264644,4627
GEO-GSE133028,GEO-GSM5264645,2724
GEO-GSE133028,GEO-GSM5264646,5173
GEO-GSE133028,GEO-GSM5264647,2411
GEO-GSE133028,GEO-GSM5264648,5185
GEO-GSE133028,GEO-GSM5264649,6424
GEO-GSE133028,GEO-GSM5264650,9043
GEO-GSE133028,GEO-GSM5264651,5051
GEO-GSE133028,GEO-GSM5264652,6231
GEO-GSE133028,GEO-GSM5264653,4046
GEO-GSE133028,GEO-GSM5264654,4557
GEO-GSE133028,GEO-GSM5264655,897
GEO-GSE133028,GEO-GSM5264656,4046
GEO-GSE133028,GEO-GSM5264657,3622
