# Derived extract of Supplementary Data 2, scFoundation (Hao et al. 2024, Nature Methods, doi:10.1038/s41592-024-02305-7).
# derived-from-sha256: 681c1d8827145730200755cb558462813e5c2562bac75361c7208ff35ecf6e4b
# Columns kept: Project ID, pubmed ID — every row, values unchanged. The publisher file itself is not committed.
Project ID,pubmed ID
HCA-dcp6600438190759903,33184181
HCA-fetalLiverAndCordBloodCiteSeq,34588693
HCA-FetalLiverHaematopoiesis,31597962
HCA-HealthyAndCirrhoticLiver,34887405
HCA-HepatoblastomaModeling,34497364
HCA-HumanLiverImmuneCells_GSE125188,32351704
HCA-SingleCellLiverLandscape,30348985
GEO-GSE103866,29315726
GEO-GSE103867,29315726
GEO-GSE107747,30068984
GEO-GSE120732,33087715
GEO-GSE128060,33296648
GEO-GSE129933,31156626
GEO-GSE130073,31155493
GEO-GSE133948,33138772
GEO-GSE138709,doi:10.1016/j.jhep.2020.05.039
GEO-GSE141183,33039464
GEO-GSE144024,33340451
GEO-GSE149614,34765603
GEO-GSE150766,34016693
GEO-GSE153643,33654293
GEO-GSE159491,33290741 || 35255944
GEO-GSE162708,34671197
GEO-GSE163558,
GEO-GSE166635,33619115
GEO-GSE168933,35074474
GEO-GSE172400,34270940
GEO-GSE176029,34470851
GEO-GSE186343,
GEO-GSE186975,
GEO-GSE188987,
GEO-GSE76098,27874032
GEO-GSE134355,32214235
GEO-GSE142750,32215369
GEO-GSE150290,35087207
GEO-GSE165404,34686340
GEO-GSE167297,34385296
GEO-GSE183904,34642171
GEO-GSE58557,27452176
GEO-GSE95630,29802404
GEO-GSE134520,31067475 || 33521016
GEO-GSE158631,
GEO-GSE103154,29802404
GEO-GSE119969,30526881
GEO-GSE121380,31730855
GEO-GSE125527,32826341
GEO-GSE140288,
GEO-GSE140312,32054662
GEO-GSE144469,32603654
GEO-GSE146771,32302573
GEO-GSE150115,32428507
GEO-GSE152290,34467254
GEO-GSE154405,
GEO-GSE158636,33837131
GEO-GSE162335,33359089
GEO-GSE163314,34022940
GEO-GSE164985,35158099
GEO-GSE166555,
GEO-GSE182270,35190725
GEO-GSE185224,35176508
GEO-GSE188711,34793335
GEO-GSE196965,
GEO-GSE200997,35538548
GEO-GSE201348,
GEO-GSE152316,29802404
GEO-GSE155900,34047474
GEO-GSE128169,31405848
GEO-GSE123904,32042191
GEO-GSE159354,33294861 || 33705361 || 34349032
GEO-GSE196341,
GEO-GSE168191,
GEO-GSE149655,32891189
GEO-GSE136831,32832599
GEO-GSE163919,
GEO-GSE158127,33257409
GEO-GSE178362,
HCA-1M Immune Cells,
HCA-AdultHemOrgans,
HCA-AneurysmalHumanAorticTissue,33017217
HCA-Asingle-cellatlasofthehealthybreasttissuesrevealsc,
HCA-ColonImmune10XSS2VDJ,
HCA-Covid19PBMC,
HCA-DevelopingMouseKidneyHumanKidneyOrganoids,31118232
HCA-EpithelialDiversityHealthInflammation,30814735
HCA-Fetal/Maternal Interface,
HCA-GSE118184KidneyOrganoid,30449713
HCA-HeartSingleCellsAndNucleiSeq,
HCA-HnsccImmuneLandscape,31924475;34099645
HCA-Human Hematopoietic Profiling,
HCA-Human5Ovary10xChuva,31320652
HCA-HumanAdiposeTissue,31023895
HCA-HumanAdultKidneyLiaoMo,31896769;34722263
HCA-HumanBoneMarrowMyeloma,29898899;31558476
HCA-HumanBrainSubstantiaNigra,32826893;32889528
HCA-HumanColonicMesenchymeIBD,30270042
HCA-HumanFirstTrimesterPlacentaDecidua,
HCA-HumanFoveaRetinaScheetzSheffield,31075224
HCA-HumanSkinBloodHypSensAndNormalKim,
HCA-HumanThymicDevelopment,
HCA-HumanTissueTcellActivation,30523328
HCA-ImmuneCellExhaustianHIV,32954948
HCA-KidneySingleCellAtlas,
HCA-MultipleSclerosisLineageDiversity,
HCA-Oligodendrocyte_MS,30747918
HCA-ProximalEpididymisCFTR,32855272
HCA-PulmonaryFibrosisGSE135893,32832598
HCA-Reprogrammed_Dendritic_Cells,
HCA-SC_analysis_kidney_organoids_fetal_kidney,30573816;30674341
HCA-SingleCellsAlzheimers,33192286
HCA-SkeletalMuscleHumanMouse,31937892
HCA-Substantia_nigra_and_locus_coeruleus,31178122
HCA-TCellsHumanCentralNervousSystem,32948672
HCA-TCellsNeuroinflammation,
HCA-TissueStability,
HCA-WongAdultRetina,
HCA-gompertsLungSarsCov2,33259798;33767183
HCA-hippocampus_development,31942070
HCA-lymphaticEndothelialCells,31402260
HCA-nasalMucosaLifespan,33758880;34354210
HCA-nktpbmcZhou,32528956
HCA-normalBreastAtlas,
HCA-pbmcCov19Flu,32651212
HCA-scRNAseqSystemicComparison,32341560
GEO-GSE158055,33657410
GEO-GSE201333,35549404
AE-E-MTAB-11536,35549406
GEO-GSE130076,
GEO-GSE150068,34969962
GEO-GSE150247,34969962
GEO-GSE162936,33500718
GEO-GSE168775,34383863
