# CELLxGENE census 2023-05-15 — census_info/datasets, as served from s3://cellxgene-census-public-us-west-2/cell-census/2023-05-15/soma/
# census_build_date=2023-05-15 total_cell_count=57880760 unique_cell_count=36673205 datasets=562
# Regenerate with scripts/snapshot_census.py; rows sorted by dataset_id so the bytes are reproducible.
dataset_id,collection_id,collection_name,collection_doi,dataset_title,dataset_total_cell_count
00476f9f-ebc1-4b72-b541-32f912ce36ea,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Dissection: Hypothalamus (HTH) - mammillary region of HTH (HTHma),10099
00e5dedd-b9b7-43be-8c28-b0e5c6414a62,af893e86-8e9f-41f1-a474-ef05359b1fb7,Single-cell transcriptomic atlas for adult human retina,10.2139/ssrn.3991078,Photoreceptor cells in human retina (rod cells downsampled),21422
00ff600e-6e2e-4d76-846f-0eec4f0ae417,3a2af25b-2338-4266-aad3-aa8d07473f50,Single-cell analysis of human B cell maturation predicts how antibody class switching shapes selection dynamics,10.1126/sciimmunol.abe6291,Human tonsil nonlymphoid cells scRNA,363
01209dce-3575-4bed-b1df-129f57fbc031,24d42e5e-ce6d-45ff-a66b-a3b3b715deaf,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,10.1038/s41467-019-12464-3,Single-cell transcriptomics of human T cells reveals tissue and activation signatures in health and disease,51876
0129dbd9-a7d3-4f6b-96b9-1da155a93748,af893e86-8e9f-41f1-a474-ef05359b1fb7,Single-cell transcriptomic atlas for adult human retina,10.2139/ssrn.3991078,All major cell types in adult human retina,244474
019c7af2-c827-4454-9970-44d5e39ce068,64b24fda-6591-4ce1-89e7-33eb6c43ad7b,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,10.1016/j.jcmgh.2022.02.007,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,12590
01ad3cd7-3929-4654-84c0-6db05bd5fd59,7d7cabfd-1d1f-40af-96b7-26a0825a306d,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,10.1126/scitranslmed.abh2624,Type I interferon autoantibodies are associated with systemic immune alterations in patients with COVID-19,600929
0325478a-9b52-45b5-b40a-2e2ab0d72eb1,283d65eb-dd53-496d-adb7-7570c7caa443,Transcriptomic diversity of cell types across the adult human brain,10.1101/2022.10.12.511898,Supercluster: Upper-layer intratelencephalic,455006
0380ddce-c31b-422a-88fe-34a1945bd949,0b9d8a04-bb9d-44da-aa27-705bb65b54eb,Tabula Muris Senis,10.1038/s41586-020-2496-1,Aorta — A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,906
03c0e874-f984-4e6c-9d2a-26ef8507dbbc,4b54248f-2165-477c-a027-dd55082e8818,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,10.1002/path.5751,Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions - Mouse Epithelial Cells,50206
03c544fb-a103-4d18-9230-eae9cfee3af2,fc77d2ae-247d-44d7-aa24-3f4859254c2c,Cellular heterogeneity of human fallopian tubes in normal and hydrosalpinx disease states identified by scRNA-seq,10.1101/2021.09.16.460628,scRNA-seq analysis of stromal cells of healthy human fallopian tubes,28691
